,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,32.115333557128906,5466.26611328125,33.31651306152344,7092.98388671875,1.6302905241648356,1.6328580458958943,3.7027601043383283,723635.0,2179.869384765625,1.4081165790557861,0.4543043076992035,1.4295594692230225,2290.31884765625,1.3957924842834473,1.4382879734039307,58895.0,0.4683245122432709,0.2283465601503849,0.3779316768050194,0.339380981400609,269,114,56,9.850489762624615e-07,0.8694061455508946,0.26793246585548636,0.760257122886182,sigmoid
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,32.4879035949707,5529.990234375,33.68758010864258,7172.0283203125,1.637008051077525,1.6361383597056072,3.6403783162434897,257715.0,2205.207763671875,1.4169087409973145,0.45711904764175415,1.4384454488754272,2316.583251953125,1.40415358543396,1.4468722343444824,20288.0,0.4711030423641205,0.6031151125207543,0.9860925925895572,0.37378730345517397,180,31,4,5.5384141311737645e-06,0.23184587864858786,0.2393034045007505,0.39407947079148503,sigmoid
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,32.486148834228516,5529.69140625,33.68590545654297,7171.6708984375,1.6286962350209555,1.614489241441091,3.6546674331029254,1626867.0,2205.093017578125,1.4168685674667358,0.45710650086402893,1.4384050369262695,2316.46728515625,1.4041168689727783,1.4468343257904053,133875.0,0.4710908532142639,0.2986065046861768,0.5329005373641849,0.1190710673108697,290,232,185,3.847890116686842e-08,0.5656520490018228,0.6966086513196876,0.8846477079216087,swish
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,32.01166534423828,5448.5361328125,33.21337127685547,7071.0107421875,1.6269511262575784,1.6152020970980325,3.660989848772685,971763.0,2172.76171875,1.405643105506897,0.45351219177246094,1.427058458328247,2282.947998046875,1.3934400081634521,1.4358717203140259,79510.0,0.4675421714782715,0.7477458920329809,0.6237690364941955,0.5410927711054683,239,164,127,4.273706738023224e-07,0.7412504491858035,0.5685733978726916,0.12381709615748751,sigmoid
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,31.70765495300293,5396.564453125,32.911136627197266,7006.6201171875,1.611359413464864,1.636737322807312,3.659795554478963,1127667.0,2152.681884765625,1.3986210823059082,0.45126643776893616,1.4199638366699219,2262.1103515625,1.3867573738098145,1.4290125370025635,92440.0,0.4653228521347046,0.5211967648938298,0.04944089148193598,0.9991987114772201,274,204,70,0.78434431391774,0.342102555755157,0.34163853360073637,0.6557917166114692,sigmoid
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,32.44867706298828,5523.28076171875,33.64858627319336,7163.72216796875,1.6199512084325154,1.618222677707672,3.6544812043507893,637427.0,2202.63525390625,1.4160140752792358,0.4568333029747009,1.4375426769256592,2313.9208984375,1.403307557106018,1.4460029602050781,51720.0,0.47082188725471497,0.5000418219715357,0.857288203202188,0.6786849293857813,224,129,36,4.548650994904638e-08,0.492906312656072,0.8745276769246205,0.37490437084296246,leaky_relu
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,32.415771484375,5517.65283203125,33.61564636230469,7156.70458984375,1.6203484376271566,1.6201152642567953,3.6583621581395467,1257267.0,2200.247802734375,1.4151924848556519,0.4565696716308594,1.4367105960845947,2311.438232421875,1.4025200605392456,1.4451948404312134,103180.0,0.47056007385253906,0.3362734895199537,0.6852344488725066,0.9236715417355299,245,209,153,3.2768940965784715e-06,0.8248997388888235,0.38964199930842625,0.8491760407407224,leaky_relu
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,16.216842651367188,2770.5322265625,16.833393096923828,3583.856201171875,1.6241951743761698,1.6116668740908304,3.65293296178182,728243.0,624.0620727539062,0.7472271919250488,0.24002692103385925,0.7558706998825073,654.1317138671875,0.7360126972198486,0.7566766142845154,59288.0,0.24617105722427368,0.24651244562119246,0.7153199147433043,0.017892553471028805,210,187,16,0.049930057631998925,0.9499810881533943,0.744026184283633,0.22937743508916209,leaky_relu
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,15.14531135559082,2591.245361328125,15.667452812194824,3335.16259765625,1.6204696774482727,1.6206645568211873,3.6558797200520834,406707.0,503.3166809082031,0.6802219152450562,0.2176390439271927,0.6863453388214111,523.3294677734375,0.6626477837562561,0.6800758838653564,32613.0,0.2208479940891266,0.09563533775508404,0.2951503721997142,0.37580899242311716,140,132,21,0.0007702731873267581,0.5433552857586791,0.3844573128095754,0.6316789558319363,relu
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,31.6024227142334,5378.57470703125,32.8065299987793,6984.3408203125,1.6215263207753499,1.620122992992401,3.671018060048421,1656051.0,2144.324462890625,1.3957161903381348,0.4503321349620819,1.4170198440551758,2253.455078125,1.3839871883392334,1.4261633157730103,136320.0,0.4643993377685547,0.6884794738143682,0.44565650913864374,0.658552068285644,267,239,212,0.003069087774501326,0.3925958188336304,0.4932284275149946,0.9512814449013146,leaky_relu
