,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,2.30056095123291,432.5037536621094,2.301035165786743,361.258056640625,0.30787686904271444,1.5985383113225302,3.6219494581222533,9999283.0,0.09984549134969711,830960.0,0.1002223789691925,0.1176571985706687,0.1625771801918745,0.44670229498296976,520,505,312,6.405964748979041e-07,0.4397472816953967,0.7191692466968885,0.5726695897532692,relu
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,2.30464506149292,433.27801513671875,2.3039557933807373,361.72772216796875,0.31208139657974243,1.64954541126887,3.771168319384257,9978675.0,0.10023722052574158,829356.0,0.10014237463474274,0.1435207724571228,0.8844629637897015,0.1577555639669299,662,366,181,0.0003751960203010951,0.8017016100961468,0.26390712898644786,0.10570563735905508,sigmoid
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,2.302297592163086,432.8321533203125,2.302363157272339,361.4713134765625,0.3075781504313151,1.6787971576054892,3.739446171124776,16335987.0,0.10023722052574158,1358736.0,0.10014237463474274,0.23380792886018753,0.3391923764720559,0.6393340276554227,973,569,73,3.547173037882872e-05,0.7500833740869566,0.5331881789787334,0.791321606843964,leaky_relu
3,3,3_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.005765504203736782,0.6138885943219066,0.9748970782384276,869,677,432,0.06595871110434431,0.21187337354319044,0.9075783698495613,0.26174845936661334,relu
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,2.304299831390381,433.1970520019531,2.3049545288085938,361.8818359375,0.3078100323677063,1.5869815190633139,3.6533604979515077,23030003.0,0.09964462369680405,1915848.0,0.10014237463474274,0.9832654967904091,0.4872964574024081,0.9060944421216846,924,748,660,8.747697197780039e-07,0.8640555367660357,0.9628197689598045,0.11861325868070108,sigmoid
5,5,5_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.24059706926345825,0.8281791973859072,0.8232677588239312,534,245,224,0.4766276187697012,0.5501880748467958,0.5630110437758855,0.21022495603442815,relu
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,2.301920175552368,432.7602844238281,2.302053213119507,361.42132568359375,0.30784452756245934,1.57301766872406,3.6012947797775268,23303859.0,0.10023722052574158,1938770.0,0.10014237463474274,0.09502953942865133,0.6690737577155232,0.012479600496590137,987,798,467,0.008593082515905513,0.41035984670488423,0.3552419012923217,0.4291873903867187,swish
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,2.4097442626953125,453.0748596191406,2.411565065383911,378.5929260253906,0.30943396091461184,1.5897913734118143,3.646417756875356,13210291.0,0.09964463114738464,1098334.0,0.10014237463474274,0.6457455279305577,0.4083260651677847,0.06157233100384474,682,583,280,0.5744019607369514,0.9564480423761315,0.3292333019572684,0.9994968010745799,relu
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,2.3017547130584717,432.729736328125,2.3019449710845947,361.4094543457031,0.3090977191925049,1.5791056752204895,3.658245015144348,12131571.0,0.10023722052574158,1008721.0,0.10014237463474274,0.5021292064338923,0.09283311013132334,0.867969854734838,843,399,28,0.0031875702075054076,0.2541193108645128,0.5855549801207179,0.6555396131809772,sigmoid
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,2.3035457134246826,433.0687561035156,2.3032686710357666,361.6065368652344,0.30875588655471803,1.5790776888529459,3.6517199635505677,10745587.0,0.10023722052574158,893258.0,0.10014237463474274,0.9453642843291163,0.35210725478827953,0.7237474508583546,750,343,136,1.6088523855920206e-05,0.40798819728713265,0.7340444499957887,0.05944270860565711,swish
