,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,15.674424171447754,2682.823486328125,16.180944442749023,3444.66259765625,1.5599244316418965,1.5724759578704834,3.586482048034668,254259.0,532.672607421875,0.6996117234230042,0.2239130437374115,0.7058934569358826,552.72802734375,0.6810562610626221,0.698762059211731,20003.0,0.22698864340782166,0.5898460084572434,0.011118149384856224,0.40993652772158384,95,78,62,0.0006466989451399493,0.6965614343832663,0.5520017342710954,0.65418211647847,relu
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,16.270675659179688,2781.412109375,16.881263732910156,3593.82861328125,1.5664574742317199,1.5622345129648845,3.569681731859843,1853811.0,612.440673828125,0.7419800162315369,0.23830261826515198,0.7501980066299438,640.6722412109375,0.7299339175224304,0.7498693466186523,152736.0,0.24394305050373077,0.07144670840352774,0.20752351358532906,0.6804316733032465,279,263,215,0.0017445128383883595,0.6161340635663649,0.7183957604898615,0.7876279312585568,relu
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,30.374282836914062,5169.140625,31.58065414428711,6723.224609375,1.559790066878001,1.5668617924054464,3.58210342725118,212019.0,2051.833251953125,1.3630928993225098,0.43986934423446655,1.3839945793151855,2157.423095703125,1.3528363704681396,1.3941415548324585,16504.0,0.4540305435657501,0.8544280910864472,0.46194415632635355,0.9644803246483207,158,23,3,0.07335256751689796,0.39653562676365683,0.3000473151107715,0.46895960249433716,sigmoid
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,32.58557891845703,5546.6923828125,33.78499984741211,7192.7802734375,1.5573093096415203,1.5635101477305093,3.575960946083069,1051059.0,2211.978271484375,1.4192463159561157,0.457867830991745,1.440808653831482,2323.596923828125,1.4063775539398193,1.4491548538208008,86078.0,0.47184205055236816,0.810677845031023,0.5304808346554637,0.3559771468862891,295,177,56,9.627507912955144e-07,0.2367746078113237,0.4906367606851476,0.7193641655853819,leaky_relu
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,25.884456634521484,4414.08642578125,26.902626037597656,5727.61083984375,1.5743394136428832,1.5616840918858845,3.580684506893158,1177011.0,1354.2169189453125,1.1070371866226196,0.35649389028549194,1.120977520942688,1423.42333984375,1.096042513847351,1.127017617225647,96528.0,0.3671783208847046,0.9178261589258909,0.163369114510715,0.18476139474660158,229,207,147,0.0001699457491101802,0.7609649157285516,0.6101729270195586,0.23844347190086979,sigmoid
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,31.724245071411133,5399.39306640625,32.92758560180664,7010.1328125,1.5615100701649984,1.55882408618927,3.5712227622667947,850035.0,2152.872802734375,1.3987051248550415,0.45128992199897766,1.4200431108474731,2262.322998046875,1.3868348598480225,1.4290881156921387,69376.0,0.4653463065624237,0.3206283897161484,0.8223443012684584,0.97257433924824,282,132,70,0.00023543988641554163,0.7794658570491303,0.27996450751362345,0.9185136725544318,swish
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,32.3477783203125,5506.02490234375,33.54792022705078,7142.279296875,1.602627948919932,1.5731317520141601,3.579546590646108,785139.0,2195.644287109375,1.41359543800354,0.45605868101119995,1.4350980520248413,2306.66650390625,1.4010035991668701,1.4436376094818115,64016.0,0.4700561761856079,0.33250828832387924,0.01625453494489193,0.7186910482123494,210,207,17,5.103448897841086e-08,0.9881062539336081,0.7200122071457711,0.09752041562728817,relu
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,26.21929359436035,4467.6630859375,27.270809173583984,5805.80126953125,1.5609580079714458,1.5622098684310912,3.5833840131759644,706419.0,1483.7291259765625,1.1544550657272339,0.3723811209201813,1.170790195465088,1561.927978515625,1.146586537361145,1.1803693771362305,57456.0,0.38461634516716003,0.43898686952888966,0.6648917626589537,0.7639459585770965,164,162,108,0.0028391856980899905,0.4602904041312337,0.3754691248885591,0.616546186972303,sigmoid
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,28.223642349243164,4811.96630859375,29.34796714782715,6248.85302734375,1.5587514797846476,1.5627359628677369,3.5574166417121886,477555.0,1437.306884765625,1.1525503396987915,0.3698008954524994,1.164176344871521,1512.1820068359375,1.1368131637573242,1.167028784751892,38456.0,0.37998339533805847,0.2506729708984494,0.9595517329871655,0.10237677115947008,241,67,41,0.3767836246230729,0.5997047590448429,0.9143291721909068,0.8469680248813237,leaky_relu
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,32.398624420166016,5514.72021484375,33.59860610961914,7153.07470703125,1.5582619786262513,1.5613884290059408,3.5717195828755695,557619.0,2199.111328125,1.4147969484329224,0.4564429223537445,1.4363112449645996,2310.265625,1.4021457433700562,1.444811224937439,45124.0,0.47043585777282715,0.9296469148248434,0.9980302331969142,0.3761295611038804,152,133,94,6.548940019388666e-08,0.5564974995830773,0.16491354613150583,0.8080758231909496,relu
