,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,14.647491455078125,2508.6875,15.004511833190918,3193.791259765625,1.638845924536387,1.6391944607098898,3.729474902153015,1314355.0,426.44647216796875,0.6408127546310425,0.20357996225357056,0.6442884206771851,438.7298278808594,0.6151096224784851,0.6298565864562988,107949.0,0.20388928055763245,0.4336525071412325,0.09931321069598198,0.1544572962448001,298,240,51,6.137359699179096e-05,0.1447699848244649,0.210776773354394,0.05604261848912291,swish
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,31.242042541503906,5317.04248046875,32.44867706298828,6908.1044921875,1.6341585238774619,1.6289568662643432,3.6856648763020834,457011.0,2119.642822265625,1.387032389640808,0.4475526213645935,1.4082406759262085,2227.866943359375,1.3757245540618896,1.4176782369613647,36809.0,0.4616535007953644,0.45968513563275337,0.7131382403895259,0.7171279229223728,167,130,12,0.30531504604820037,0.5235363119719689,0.3681928467939931,0.7716706997847639,swish
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,27.366424560546875,4658.111328125,28.43936538696289,6054.470703125,1.6328382452329,1.6441685597101847,3.685000443458557,967731.0,1711.015380859375,1.2391101121902466,0.40000084042549133,1.2579607963562012,1801.7369384765625,1.2322880029678345,1.269700288772583,79180.0,0.41367998719215393,0.8341104257851839,0.08860255032777786,0.4274403126910329,206,189,124,0.13410365324395518,0.12746142034639837,0.5511579993343684,0.06946060457655455,sigmoid
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,31.30725860595703,5328.162109375,32.513160705566406,6921.845703125,1.636510725816091,1.6329734643300375,3.679755906263987,116787.0,2123.23681640625,1.3883235454559326,0.4479626417160034,1.4095399379730225,2231.576171875,1.3769404888153076,1.4189234972000122,8640.0,0.4620550870895386,0.5146786449477077,0.12145486753433943,0.9677141020074487,57,47,28,0.0028971929170761037,0.35535590439428144,0.24196988819747534,0.7024072385001551,relu
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,32.4039306640625,5515.6298828125,33.60396957397461,7154.21875,1.6157386541366576,1.6417286316553752,3.6964372237523397,964723.0,2199.66064453125,1.4149839878082275,0.4565037786960602,1.4365016222000122,2310.836181640625,1.4023269414901733,1.4449957609176636,78876.0,0.47049611806869507,0.8236408177763224,0.5049047591164708,0.07334899716079235,288,140,108,2.9393697203327513e-07,0.24754002153852858,0.43906026906785867,0.9011888683992979,leaky_relu
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,16.512914657592773,2826.615478515625,17.01085090637207,3621.416748046875,1.6238453070322671,1.6523368239402771,3.7216631809870404,677619.0,603.6631469726562,0.7418922185897827,0.23784150183200836,0.7491708397865295,627.8447875976562,0.7243586182594299,0.7433053851127625,55060.0,0.24156521260738373,0.9254946820437908,0.32864437345415354,0.33165572863072157,257,114,43,0.01753052993604258,0.9344474167978898,0.9499065520802696,0.41055550108821487,leaky_relu
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,26.164392471313477,4458.68212890625,27.216293334960938,5794.21240234375,1.6352109988530477,1.6486512621243794,3.7069254875183106,1084659.0,1468.74365234375,1.1488960981369019,0.370540589094162,1.1650023460388184,1545.993896484375,1.140792965888977,1.1742870807647705,88842.0,0.38263219594955444,0.04784818459302187,0.23053588345646858,0.243717928417027,221,181,170,0.0007914193456236548,0.4479790481258633,0.1500804694392874,0.8694199776879269,sigmoid
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,32.484130859375,5529.34326171875,33.68383026123047,7171.2236328125,1.6352596203486125,1.6386233607927958,3.6920427680015564,1104435.0,2204.961181640625,1.4168227910995483,0.4570918083190918,1.438359260559082,2316.327392578125,1.4040716886520386,1.4467887878417969,90534.0,0.47107601165771484,0.4492140971124172,0.13085760734975338,0.7822260623797774,252,221,65,1.4767666416590657e-07,0.40323454428675676,0.7061840736939965,0.19897924257766142,sigmoid
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,25.9622745513916,4426.0400390625,27.005706787109375,5749.4541015625,1.6131961623827615,1.6350013772646586,3.711213767528534,1100403.0,1400.154296875,1.1236519813537598,0.3621158003807068,1.1385613679885864,1472.781005859375,1.1140817403793335,1.1461424827575684,90176.0,0.3734394311904907,0.29993570782244205,0.9535615313798189,0.5551516804844141,292,173,92,0.02434766493954467,0.6165470868696953,0.31749031860869326,0.739718896390245,sigmoid
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,28.270225524902344,4811.23828125,29.40066909790039,6259.16064453125,1.6343925277392068,1.6441078384717305,3.700103696187337,294195.0,1839.7840576171875,1.286556601524353,0.4152843952178955,1.3063169717788696,1936.5279541015625,1.2789409160614014,1.3179796934127808,23284.0,0.42934784293174744,0.4074938837438822,0.5566911185160279,0.3442501351237297,195,33,31,0.004178229399003006,0.22134622405495785,0.9987818170125736,0.9732163302136297,sigmoid
10,10,10_0,COMPLETED,Sobol,GenerationStep_0,32.65066146850586,5557.828125,33.84987258911133,7206.60009765625,1.6138362447420755,1.6172985792160035,3.7015264789263407,449843.0,2216.344970703125,1.4207570552825928,0.4583510458469391,1.4423351287841797,2328.12939453125,1.4078127145767212,1.4506289958953857,36190.0,0.4723190665245056,0.22984180506318808,0.7857468761503696,0.23193460702896118,282,46,8,5.6866657753761e-08,0.40017453526964253,0.8472393873008776,0.2597162306414155,relu
11,11,11_0,COMPLETED,Sobol,GenerationStep_0,17.76853370666504,3038.09619140625,18.37506866455078,3912.220947265625,1.6359742641448975,1.6205796917279562,3.668540024757385,975731.0,727.577880859375,0.8085023760795593,0.26000744104385376,0.8179632425308228,759.9890747070312,0.7952223420143127,0.8169068098068237,79815.0,0.2657560706138611,0.11840792652219534,0.7020474663004279,0.9272267986088991,211,204,96,1.7334851371684222e-05,0.9052418833534139,0.1807244648569446,0.02353288489144069,swish
12,12,12_0,COMPLETED,Sobol,GenerationStep_0,15.301849365234375,2618.037109375,15.816516876220703,3366.951904296875,1.6353318134943644,1.6280316154162089,3.6836119294166565,636723.0,509.6551208496094,0.6852160692214966,0.21920304000377655,0.6912531852722168,529.2742919921875,0.6670047640800476,0.6843317151069641,51695.0,0.22223642468452454,0.12684419844299555,0.4017653716728091,0.6699085524305701,185,156,50,0.0002854641235329778,0.21830895514089538,0.5755980395021796,0.5377231996750841,relu
13,13,13_0,COMPLETED,Sobol,GenerationStep_0,25.90921401977539,4422.72314453125,26.839534759521484,5714.73974609375,1.6172299265861512,1.6405464967091878,3.695262436072032,1066611.0,1220.7938232421875,1.061155915260315,0.3404451310634613,1.071214199066162,1277.8302001953125,1.0432144403457642,1.0702251195907593,87400.0,0.3484862148761749,0.6436214661225677,0.7362574888393283,0.6551593132317066,266,227,24,0.6735257122966605,0.9383707735667443,0.5820935424868017,0.09995490026356878,sigmoid
