,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,2.3000988960266113,432.42193603515625,2.2999606132507324,361.09893798828125,0.3347304026285807,1.7313868443171183,4.022744941711426,23893107.0,0.10208553820848465,1987861.0,0.10139328241348267,0.5574963524782881,0.6266653816792981,0.35901795564147165,989,879,386,7.662185722552331e-08,0.5486245663431484,0.8849255263585922,0.9246096611089625,relu
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,2.302507162094116,432.8707275390625,2.3025264739990234,361.4963684082031,0.36068998972574867,1.757919724782308,4.091845214366913,16401075.0,0.10023722052574158,1364168.0,0.10014237463474274,0.1827194334740727,0.6879468398154681,0.6996878162883363,988,562,60,0.0046099299789382426,0.9345279055078913,0.9626564262807772,0.935788207026502,swish
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,2.30293345451355,432.94549560546875,2.30293869972229,361.5601501464844,0.32402097384134926,1.6735538562138876,3.9754611253738403,9226355.0,0.10023722052574158,766664.0,0.09943126142024994,0.6830934967686793,0.1842541640882538,0.7879474033718146,574,364,288,1.8076021916517955e-06,0.6180499554812733,0.5188598151997739,0.26155381771141906,sigmoid
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,2.3111655712127686,434.5010070800781,2.3126792907714844,363.1060485839844,0.32341576417287193,1.6750175913174947,3.9172289888064067,21064371.0,0.09964462369680405,1752294.0,0.10014237463474274,0.5140616753997118,0.8162408642324577,0.7271620930837529,961,754,359,0.0018041088554399095,0.9216144992690853,0.4297483341599897,0.5932156108385715,sigmoid
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,2.3023059368133545,432.8333435058594,2.302337646484375,361.46722412109375,0.32462421655654905,1.6484995365142823,4.116648741563162,15763635.0,0.10023722052574158,1310944.0,0.10014237463474274,0.1351323791346244,0.03894430980864527,0.29552662854705436,810,621,274,4.9976312225159075e-05,0.8711846549869385,0.7202822273709576,0.9849046036669101,leaky_relu
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,0.6998781561851501,131.6416778564453,0.6722471714019775,105.41719818115234,0.32008134921391806,1.6273873527844747,3.8839961926142377,5876595.0,0.8219635486602783,487942.0,0.8334645628929138,0.7800643434606891,0.42669793233046704,0.8849438025309286,438,271,92,0.0009316797247533653,0.5547923232622427,0.32287971684879313,0.013963571845708315,swish
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,2.302128791809082,432.79986572265625,2.3021903038024902,361.44415283203125,0.3185525973637899,1.6661766370137532,3.8531144658724465,24256179.0,0.10023722052574158,2017942.0,0.10014237463474274,0.3256292300925152,0.2446687898404265,0.8813669765216936,893,799,747,0.00012038768365063866,0.5818497972800886,0.5893247089498022,0.6147091612068227,relu
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,2.302149534225464,432.8037414550781,2.302196979522705,361.4451904296875,0.3191671927769979,1.6484339316685994,3.8704837123552958,8907699.0,0.10023722052574158,740104.0,0.10014237463474274,0.17402840925664176,0.5598823440674559,0.9280864527196251,536,366,329,9.054482649780519e-05,0.7736061765711492,0.8891701503844389,0.5892051539035971,relu
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,7.576145172119141,1423.95068359375,7.582836627960205,1190.2650146484375,0.31911439100901284,1.6512494762738545,3.8728652238845824,14075955.0,0.10023722052574158,1170548.0,0.10014237463474274,0.022469238520753887,0.6364666315918657,0.8285304027574187,897,475,85,0.7191490571489492,0.7043014677531192,0.5137105101403769,0.11505421070685105,sigmoid
9,9,9_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,0.1673225457548011,0.4253922561465411,0.01988377288431642,632,388,134,0.5252833099039382,0.1749141659514421,0.33724299352384995,0.6001379558966213,relu
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,2.3023221492767334,432.8363952636719,2.302353620529175,361.4696350097656,0.32237948179244996,1.6618504802385965,3.8503060976664227,19411251.0,0.10023722052574158,1614618.0,0.10014237463474274,0.8374324668106885,0.5568189853409994,0.6953023415160319,959,614,439,0.00015398685602997366,0.7167454783347755,0.7019276103202162,0.9153857746075249,swish
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,2.30165433883667,432.7103576660156,2.301765203475952,361.3776550292969,0.31664998531341554,1.655134904384613,3.8642683664957684,6652275.0,0.10023722052574158,552415.0,0.10014237463474274,0.01895860099577229,0.6677368627854392,0.30059441955109856,449,321,170,0.00025447663662483413,0.30185143229461675,0.995349452709888,0.21124131582018996,leaky_relu
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,2.302797555923462,432.9254455566406,2.3027846813201904,361.5370788574219,0.31761306524276733,1.64522997935613,3.8549972494443256,7339763.0,0.10023722052574158,609867.0,0.10014237463474274,0.4638993199463385,0.7284135901261751,0.19385302553430628,726,53,35,0.008298184218667633,0.9036888854257974,0.4819476358974052,0.7287713761194954,relu
