,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,training_time,checkpoint_size,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,32.58815002441406,5547.13525390625,33.78752899169922,7193.31591796875,1.6946681221326192,1.7416164437929789,2212.02197265625,1.419264793395996,0.4578734040260315,1.440826654434204,2323.64306640625,1.406393051147461,1.4491713047027588,107455.0,3.913661551475525,1309107.0,0.4718472361564636,0.5071496590971947,0.8066746536642313,0.24840665236115456,291,184,164,1.8316268140348055e-08,0.7936051351250785,0.883856205314613,0.320824585440729,swish
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,30.640729904174805,5214.49609375,31.848281860351562,6780.22314453125,1.740504304567973,1.7767684578895568,2073.150146484375,1.3706560134887695,0.44229644536972046,1.3916559219360352,2179.57177734375,1.3600722551345825,1.401582956314087,25225.0,4.177588232358297,317235.0,0.45644044876098633,0.14056695438921452,0.7333539621904492,0.3210308291018009,191,44,30,4.3437922400768875e-05,0.12470430480806731,0.538797712293397,0.7712936985476845,sigmoid
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,25.931129455566406,4421.14794921875,26.967754364013672,5741.40087890625,1.7751972874005635,1.726977284749349,1385.1234130859375,1.1181811094284058,0.3602727949619293,1.1327905654907227,1456.663818359375,1.108189344406128,1.1399084329605103,105520.0,4.1658167243003845,1284787.0,0.37140002846717834,0.24990681186318398,0.037514337338507175,0.5833430476486683,266,259,58,0.0007409490044957869,0.3573011194637772,0.10173895822768418,0.245848460458426,sigmoid
3,3,3_0,COMPLETED,Sobol,GenerationStep_0,15.457235336303711,2646.40087890625,15.958552360534668,3397.226806640625,1.9154180447260538,1.9434765219688415,513.6969604492188,0.6893103718757629,0.22045107185840607,0.6952871680259705,532.587646484375,0.6697260141372681,0.6868805885314941,62220.0,4.262662315368653,763635.0,0.22297251224517822,0.7559516113251448,0.013732388615608215,0.7658235868439078,174,174,102,9.391933791380933e-05,0.3471923188780255,0.9794164567330412,0.15870475051544672,swish
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,32.57444381713867,5544.7900390625,33.773948669433594,7190.42236328125,1.7195833722750347,1.8114853501319885,2211.147216796875,1.4189622402191162,0.4577767252922058,1.440521001815796,2322.737548828125,1.4061070680618286,1.4488763809204102,53328.0,4.273107667764028,656883.0,0.47175198793411255,0.9453534614294767,0.4175577098503709,0.3629765519872308,276,92,60,8.171160076316913e-07,0.763683365547982,0.5002987639273048,0.45295932249760834,leaky_relu
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,15.69766616821289,2692.896240234375,15.996108055114746,3405.079345703125,1.859928278128306,1.7625129222869873,499.623046875,0.692192554473877,0.22039549052715302,0.6963813304901123,508.4670715332031,0.6598743796348572,0.6757197380065918,37586.0,4.143974792957306,467251.0,0.2188052535057068,0.7416341546922922,0.8401008462533355,0.3398889098316431,128,120,98,0.0033426621827162242,0.5526016656311711,0.8535094925298182,0.018543269299802517,sigmoid
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,32.50784683227539,5533.40087890625,33.707454681396484,7176.26171875,1.7974386890729268,1.8358505845069886,2206.552490234375,1.4173742532730103,0.4572681188583374,1.4389164447784424,2317.9755859375,1.4045960903167725,1.4473261833190918,18366.0,4.10490909020106,234675.0,0.47124987840652466,0.5716981031000614,0.04812228865921497,0.03358589485287666,103,82,19,8.299476953853676e-08,0.2828613971531191,0.21607051176505615,0.6424382991174898,sigmoid
7,7,7_0,COMPLETED,Sobol,GenerationStep_0,32.12250518798828,5467.49462890625,33.32365036010742,7094.5048828125,1.773190176486969,1.8510067025820414,2180.32666015625,1.4082762002944946,0.4543556571006775,1.4297212362289429,2290.791748046875,1.3959439992904663,1.4384437799453735,41589.0,4.203013340632121,514611.0,0.46837475895881653,0.23131754994392395,0.6169083015993237,0.897453747689724,188,138,3,2.991271613816514e-08,0.4461589958240858,0.7675852369846755,0.9574812592185318,relu
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,28.022809982299805,4769.1513671875,29.135242462158203,6202.64990234375,1.7315680702527365,1.736914543310801,1807.50048828125,1.2747235298156738,0.41147899627685547,1.2942771911621094,1902.7886962890625,1.2673747539520264,1.3060256242752075,165615.0,3.98247389793396,2008563.0,0.4254705309867859,0.713355015963316,0.20147679653018713,0.8422375079244375,287,276,228,0.0903751332337175,0.17213012160682503,0.9176833357146547,0.7598708885171901,sigmoid
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,32.5484733581543,5540.35009765625,33.747928619384766,7184.8779296875,1.7074485937754313,1.702866542339325,2209.31005859375,1.418328881263733,0.4575735628604889,1.4398802518844604,2320.833251953125,1.4055027961730957,1.4482567310333252,101053.0,3.9443944533665976,1231347.0,0.4715513288974762,0.03398160636425018,0.9552504681050777,0.4897239711135626,271,202,120,2.579703831217998e-06,0.6378706298609761,0.29025445862689603,0.6807940832246365,swish
