,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,32.54808807373047,5540.279296875,33.74752426147461,7184.796875,1.6521107832590738,1.6583521405855814,3.807454590002696,929907.0,2209.38232421875,1.4183515310287476,0.4575809836387634,1.4399032592773438,2320.906005859375,1.4055249691009521,1.448279619216919,76016.0,0.47155874967575073,0.890555889744839,0.9815176045631192,0.8242275264299379,200,175,141,1.1296444232386986e-06,0.1041294073525016,0.6848597767452037,0.4471437495035563,leaky_relu
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,32.487709045410156,5529.95654296875,33.687408447265625,7171.99072265625,1.6417329430580139,1.656371001402537,3.7955364108085634,712563.0,2205.219482421875,1.416911244392395,0.4571199119091034,1.4384479522705078,2316.5966796875,1.404157042503357,1.4468753337860107,57964.0,0.47110414505004883,0.8610217724071135,0.026332214655772956,0.6524232012016306,227,123,94,2.393883117478891e-07,0.45523765572030883,0.41353263168038457,0.6216159161304695,swish
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,16.081087112426758,2750.9052734375,16.606985092163086,3535.59912109375,1.6625592907269795,1.6484222213427226,3.75918740828832,325491.0,582.4607543945312,0.7302875518798828,0.2341112196445465,0.737587034702301,602.7946166992188,0.7110812067985535,0.7297919988632202,25864.0,0.2370331883430481,0.9198506468129146,0.7147335159339838,0.6059068532067732,104,101,68,0.00020226009431852484,0.5234336390533805,0.7955195103260475,0.027802057894342116,relu
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,30.631488800048828,5212.92333984375,31.83905029296875,6778.25439453125,1.6445679426193238,1.6644120852152506,3.7589040040969848,542643.0,2072.426025390625,1.3703991174697876,0.44221431016921997,1.391396403312683,2178.8203125,1.3598271608352661,1.4013307094573975,43896.0,0.45635899901390076,0.11672231810690681,0.6000119807884657,0.9442021975020172,261,83,13,7.252315136379831e-05,0.8235547733067148,0.26106008020946725,0.6809883250309517,sigmoid
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,32.1572380065918,5473.43798828125,33.358245849609375,7101.87548828125,1.647666303316752,1.6499334216117858,3.7774626930554707,676083.0,2182.747802734375,1.4091166257858276,0.45462480187416077,1.4305704832077026,2293.30322265625,1.3967444896697998,1.4392659664154053,54969.0,0.4686410129070282,0.9430051970425726,0.24360543708467108,0.9123797218137527,236,150,3,3.686466058603329e-08,0.7272324125042696,0.10539174908669847,0.3253910781323581,leaky_relu
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,32.563323974609375,5542.8857421875,33.76279830932617,7188.04638671875,1.665343201160431,1.6686160643895467,3.7490780393282575,1427315.0,2210.3291015625,1.4186798334121704,0.45768576860427856,1.4402347803115845,2321.889404296875,1.405836820602417,1.448600172996521,117320.0,0.4716622531414032,0.033678357495903644,0.5315417397608437,0.5349696842428203,236,229,192,1.1737477976483807e-07,0.9689567485694841,0.936709393006228,0.8017319187381793,leaky_relu
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,32.189002990722656,5478.86669921875,33.38985824584961,7108.60400390625,1.642646332581838,1.6453000783920289,3.7554611802101134,515123.0,2184.897216796875,1.4098644256591797,0.45486411452293396,1.4313263893127441,2295.531494140625,1.3974555730819702,1.439995288848877,41618.0,0.46887731552124023,0.8633059984391385,0.9359850982191047,0.4343431698941288,188,136,6,2.8149659163584126e-07,0.7720053235015488,0.5781697777457655,0.9782192507491092,sigmoid
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,32.55438995361328,5541.3583984375,33.75386428833008,7186.14697265625,1.657132832209269,1.6468048453330995,3.785594606399536,1331955.0,2209.653076171875,1.4184478521347046,0.4576115608215332,1.4400010108947754,2321.184814453125,1.405614972114563,1.4483726024627686,109388.0,0.4715884327888489,0.9722501630355633,0.2775863326088128,0.03519410058899808,261,202,175,1.1142583389255042e-08,0.2685185975112431,0.6863154395266149,0.7900198282814158,relu
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,32.4744987487793,5527.69677734375,33.67423629760742,7169.185546875,1.6434614976247153,1.651262672742208,3.7770984331766764,874099.0,2204.27685546875,1.4165871143341064,0.4570160508155823,1.4381201267242432,2315.6171875,1.4038476943969727,1.4465572834014893,71400.0,0.47100138664245605,0.3382218632717209,0.1667402140420431,0.35620408969788797,298,144,30,1.6524493907985982e-06,0.3243075722430967,0.35892743815361416,0.7627502977353812,relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,26.584707260131836,4527.517578125,27.641311645507812,5884.58447265625,1.6558939973513285,1.658685608704885,3.7809712171554564,294963.0,1583.739013671875,1.1915178298950195,0.38457393646240234,1.2092036008834839,1667.72216796875,1.184700608253479,1.2202597856521606,23376.0,0.39761146903038025,0.9906171954604395,0.8702682708938814,0.6046644932970199,149,63,30,0.01952987449885138,0.11574678865756372,0.31081926413623095,0.4837303816876829,leaky_relu
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,32.42689895629883,5519.55810546875,33.626792907714844,7159.0771484375,1.6474736173947653,1.662067949771881,3.782468064626058,1605683.0,2201.060546875,1.4154725074768066,0.45665955543518066,1.4369949102401733,2312.2841796875,1.4027878046035767,1.4454705715179443,132108.0,0.47064951062202454,0.6775926640491106,0.10981782757589909,0.6906243829521156,256,235,217,5.975595709528829e-06,0.1265405010358407,0.36007502496567234,0.5368593545487932,leaky_relu
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,32.92253112792969,5604.318359375,34.121116638183594,7264.37451171875,1.7256579637527465,1.7126206874847412,4.152527844905853,1614003.0,2234.571044921875,1.4270479679107666,0.460363507270813,1.4486892223358154,2347.0048828125,1.4137861728668213,1.4567582607269287,132836.0,0.4743029475212097,0.9746618949153287,0.07242657308357592,0.1547759003613023,291,243,158,1.1219273644576309e-08,0.8740813786219244,0.45039069099860995,0.501780205022327,sigmoid
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,32.702762603759766,5566.73828125,33.90183639526367,7217.66455078125,1.6936647494633992,1.7081784049669901,3.9466690977414447,735475.0,2219.7412109375,1.4219340085983276,0.45872724056243896,1.4435232877731323,2331.642822265625,1.4089287519454956,1.4517732858657837,59870.0,0.4726893901824951,0.6878686347338228,0.9200894065231312,0.5662855404124539,205,160,65,3.6951427885095247e-07,0.4926231320916429,0.53257330184796,0.17936131474669267,sigmoid
13,13,13_0,COMPLETED,Uniform,GenerationStep_0,32.33841323852539,5504.4228515625,33.53862380981445,7140.30078125,1.6952744007110596,1.7230189323425293,3.9559813777605695,1774131.0,2195.06201171875,1.4133926630020142,0.4559939503669739,1.4348927736282349,2306.0673828125,1.4008114337921143,1.4434411525726318,146140.0,0.4699923098087311,0.6203761180481158,0.27719718420624273,0.4900093476374039,271,244,237,7.387482048330367e-06,0.948090786902485,0.49495164608110365,0.3669590085119994,swish
14,14,14_0,COMPLETED,Uniform,GenerationStep_0,31.638601303100586,5384.7587890625,32.84247589111328,6992.0029296875,1.7082942128181458,1.7179693738619486,3.950918694337209,1053363.0,2146.871826171875,1.3966072797775269,0.4506177604198456,1.4179214239120483,2256.097900390625,1.3848364353179932,1.4270353317260742,86288.0,0.4646816551685333,0.09769725512054805,0.19109762245936268,0.5876547582384394,249,243,23,0.00743360458072249,0.7106935940065704,0.5483641345708504,0.9865269638714056,relu
15,15,15_0,COMPLETED,Uniform,GenerationStep_0,26.654314041137695,4539.44873046875,27.71288299560547,5899.826171875,1.7204274614651998,1.719700292746226,3.9374715526898703,563891.0,1583.895751953125,1.1917833089828491,0.38463935256004333,1.2094186544418335,1667.988037109375,1.1848751306533813,1.2204078435897827,45621.0,0.39765769243240356,0.3393123475028156,0.9535018579605787,0.5208918948664208,225,92,72,0.008868913693705328,0.5495203462440813,0.3413145351428187,0.6705518892964764,sigmoid
