,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_accuracy,mean_test_loss,cumulative_test_loss,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,1075140,3.836439839998881,1.6653703331947327,0.3190149188041687,12932595.0,2.302381753921509,432.84942626953125,0.10023722052574158,2.3023245334625244,361.4656066894531,0.10014237463474274,0.9258167325701077,0.2704388684152381,0.1744629314235483,667,499,431,0.005324089350269529,0.5928113304016634,0.9928297265015797,0.5652742981136472,leaky_relu,0
0,997995,3.8436404267946878,1.673870865503947,0.3182848294576009,12002675.0,2.3008177280426025,432.55224609375,0.10023722052574158,2.301147937774658,361.28228759765625,0.10014237463474274,0.6582224522824417,0.36587698586875506,0.32818929346875947,955,245,60,3.243527846352327e-05,0.9329933071884033,0.6477616183941896,0.254240966041351,sigmoid,1
0,1173462,3.8885474761327106,1.681153170267741,0.31831661065419514,14112883.0,2.301171064376831,432.6190185546875,0.10023722052574158,2.301307439804077,361.3053283691406,0.10014237463474274,0.49691075385439565,0.6809572793959314,0.8302043032039064,810,464,343,9.650256089491005e-05,0.8428464052285608,0.6075868856691183,0.8749743287695831,sigmoid,2
0,886690,3.9038732171058657,1.6470343351364136,0.32470028003056844,10668339.0,2.3400533199310303,439.9233703613281,0.10031341761350632,2.3420803546905518,367.7226257324219,0.09943126142024994,0.7934969628299475,0.9393420621598627,0.10662116323482318,587,462,329,0.6975440398074376,0.7773520855366416,0.5350733388853753,0.2042628646025511,swish,4
0,1019100,3.8775983929634092,1.6761014898618063,0.32401899496714276,12258483.0,2.2987146377563477,432.1573181152344,0.16157661378383636,2.2986745834350586,360.8893737792969,0.167210191488266,0.35227301780215337,0.14236739571746748,0.5398261500083693,742,421,290,1.8318464839376286e-06,0.3920887118329379,0.45773488466446044,0.5898607005779066,leaky_relu,5
0,1705158,3.921231702963511,1.7115884145100912,0.31977375348409015,20499507.0,2.333491802215576,438.6894836425781,0.09964462369680405,2.331732749938965,366.0856018066406,0.10014237463474274,0.40855167603348486,0.585743460764409,0.25882488883296173,805,781,563,1.307082885323453e-07,0.3143043091943063,0.7742696352194762,0.23325708097045647,sigmoid,6
0,101514,3.8993059396743774,1.6658535997072856,0.3202823162078857,1233011.0,2.30230712890625,432.8336181640625,0.10023722052574158,2.302321195602417,361.4646911621094,0.10014237463474274,0.44110684725991434,0.20873090564599817,0.0038205444864630733,108,93,66,0.00018435167934032883,0.6367787774002285,0.9550766767039572,0.9619617767400381,leaky_relu,7
0,1665000,3.9970826824506123,1.6552536725997924,0.3201972444852193,20017779.0,2.305797576904297,433.4913330078125,0.1002793237566948,2.3054051399230957,361.955322265625,0.1017656996846199,0.6982366602564648,0.3052343280866785,0.9508632098045403,780,727,660,1.0731025694444085e-07,0.916275904586081,0.501358008378661,0.44180081541736,leaky_relu,9
0,1178200,3.8503112316131594,1.6726196169853211,0.3191134214401245,14169523.0,2.3042359352111816,433.1932678222656,0.0746561661362648,2.3043951988220215,361.7902526855469,0.0797993615269661,0.7656710367137506,0.08576635111004327,0.841833270505855,732,592,284,2.7236166260064047e-07,0.2866205487776716,0.12095218749144243,0.9609353255109743,swish,10
0,1126584,3.884928512573242,1.6637787779172262,0.3204597274462382,13550259.0,2.3032987117767334,433.02093505859375,0.09964463114738464,2.3031671047210693,361.5956726074219,0.10014237463474274,0.4724563315360397,0.8760820389565238,0.6454448526358264,650,611,354,1.0475340971701763e-05,0.8009917273106586,0.2639254858221733,0.1979682232827153,leaky_relu,11
0,1624227,3.886286703745524,1.648258356253306,0.31993016401926677,19524531.0,2.302361488342285,432.84344482421875,0.10023722052574158,2.3024063110351562,361.4779052734375,0.09943126142024994,0.2074155923255,0.9239696270691173,0.33167468983683546,998,821,27,0.003829569570919725,0.304856013428635,0.3643892474052445,0.7827135550762828,relu,12
0,1205718,3.898013122876485,1.66721267302831,0.31939272085825604,14500083.0,2.2983882427215576,432.09613037109375,0.11396263539791107,2.298271894454956,360.8252258300781,0.11306280642747879,0.5111111246731187,0.10016543707196834,0.8155582393930481,857,442,343,4.900052542520864e-07,0.42176009988660257,0.7177416362072512,0.7518119851693177,relu,13
0,698073,3.8930929859479266,1.6802511096000672,0.3227571129798889,8402355.0,2.3036770820617676,433.09051513671875,0.10023722052574158,2.3040781021118164,361.747802734375,0.09943126142024994,0.5715975062658449,0.7220837348661653,0.9212149678700523,504,399,249,1.2160432367838754e-07,0.9023573811922229,0.195171392857619,0.386892754257507,leaky_relu,14
0,2246101,3.858589752515157,1.6696301301320393,0.3239109595616659,26996019.0,2.341608762741089,440.2443542480469,0.10023722052574158,2.338454008102417,367.12548828125,0.10014237463474274,0.9333965302825956,0.06033653011870577,0.42606600670545225,936,861,811,0.0006433305716316527,0.3141915880711902,0.4789448697592391,0.2274481115212248,sigmoid,15
0,715632,3.863777168591817,1.711079720656077,0.3190759817759196,8610611.0,2.3116860389709473,434.60040283203125,0.09973350912332535,2.3121767044067383,363.0155944824219,0.10014237463474274,0.3709305357616888,0.9605109764512201,0.7428741878990973,716,207,28,8.883511162149195e-07,0.7352341674642053,0.11827031092018395,0.43001367882166225,relu,16
0,1631664,3.894331665833791,1.693477213382721,0.3183277209599813,19616499.0,2.3027753829956055,432.9228210449219,0.10023722052574158,2.3027143478393555,361.5276184082031,0.09936726093292236,0.31482554079856984,0.21939464130397446,0.8425938913198965,872,694,487,2.2916483735814014e-08,0.7775737911367167,0.1265531713774399,0.7107763562277168,swish,17
0,2066790,3.8885724822680157,1.6577719847361247,0.31998063723246256,24842419.0,2.323367118835449,436.7613220214844,0.10023722052574158,2.320913553237915,364.38641357421875,0.10014237463474274,0.059252373186934215,0.8668595362660566,0.5565532129323482,906,851,680,0.01283753697206241,0.5781205660899872,0.6075947084677199,0.08966924596800122,relu,18
0,1181522,3.901660231749217,1.6556607723236083,0.3198371410369873,14208819.0,2.3022279739379883,432.818603515625,0.10023722052574158,2.3022303581237793,361.449951171875,0.10014237463474274,0.8394655481923662,0.26497906195184906,0.9090271372397892,929,388,233,0.003370441031176141,0.20404732304301398,0.4972837628332941,0.5902985613158541,swish,20
0,1248056,3.870417618751526,1.6498327294985453,0.3203724225362142,15010355.0,2.302377700805664,432.8466491699219,0.10023722052574158,2.3023881912231445,361.4739074707031,0.10014237463474274,0.8699376841176516,0.9701199273002249,0.8306245742915801,682,568,564,0.0014123708787800366,0.878364364665462,0.23455383692950424,0.6736154415678023,swish,21
