,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,2.3318002223968506,438.3916320800781,2.334379196166992,366.5368957519531,0.3442575653394063,1.6664974451065064,3.7265086650848387,13604979.0,0.10023722052574158,1131376.0,0.09943126142024994,0.7910163894901615,0.013050271174561923,0.9872732587892039,889,475,25,0.12161905840333097,0.5700694853491542,0.21757192480454768,0.5590448975603787,sigmoid
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,2.3020710945129395,432.78900146484375,2.3021106719970703,361.431640625,0.33243385553359983,1.6836727142333985,3.991605802377065,22260723.0,0.10023722052574158,1851908.0,0.10014237463474274,0.7888360560772341,0.422393445396243,0.40541064363252954,951,819,395,2.1146753787823434e-05,0.998640880360976,0.40976330841723707,0.4562788055991829,swish
2,2,2_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,0.9670720085968909,0.011640947820250158,0.5005671452166857,879,838,510,0.321125909111331,0.47392497700404235,0.5890879958878952,0.8469286577169524,sigmoid
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,2.3076937198638916,433.8494873046875,2.3082211017608643,362.39422607421875,0.33214195171991984,1.660854661464691,3.8238610585530597,10640819.0,0.10023722052574158,884604.0,0.09943126142024994,0.7779814906357351,0.01767758544484488,0.2902959617279445,845,239,81,0.3776264837003426,0.30849695082143985,0.9333169596398226,0.3766870936591247,relu
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,2.301783800125122,432.7343444824219,2.3018593788146973,361.3922424316406,0.3332003434499105,1.6666810592015584,3.8018555839856467,9328499.0,0.10023722052574158,775260.0,0.10014237463474274,0.9374835985206267,0.038514466024917704,0.2596940342430969,608,424,94,0.0006578610486997703,0.6615111710829304,0.745106320528118,0.24890590900243087,relu
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,2.299938201904297,432.38525390625,2.2998147010803223,361.0685729980469,0.3342309832572937,1.6898355762163797,3.85760627190272,21477747.0,0.1453387290239334,1786639.0,0.14887800812721252,0.5021382191688671,0.11644922426738702,0.10995424461104686,831,805,572,1.4203885759025587e-07,0.3053851415393829,0.5067242906505653,0.12927978702486118,leaky_relu
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,4.643822193145752,873.4039306640625,4.578343391418457,718.7211303710938,0.3328159252802531,1.6859187841415406,3.845225954055786,20128947.0,0.03698412701487541,1674312.0,0.037622228264808655,0.5835563810145512,0.5376504968584916,0.06341064932515128,951,613,555,0.09306153940317516,0.8260650636696005,0.6613426750069618,0.12800849949109763,swish
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,2.3028054237365723,432.927001953125,2.30267596244812,361.520751953125,0.3329171101252238,1.687338896592458,3.853517790635427,9153779.0,0.1011427789926529,760644.0,0.10170652717351913,0.4399098637906178,0.4763430385050582,0.5720731752921805,533,488,166,2.3201132498725425e-08,0.4761125816186037,0.13722526869291193,0.022047059505657263,swish
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,2.3030757904052734,432.9774169921875,2.302841901779175,361.5455627441406,0.33398056825002037,1.6731051047643026,3.8418766458829245,19041651.0,0.10023722052574158,1583902.0,0.10014237463474274,0.7606907235119529,0.9164193969102062,0.5917377852931178,861,792,283,0.020291274358898555,0.2746809090384909,0.8610256469046847,0.7758694656438437,leaky_relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,2.0876047611236572,392.4618835449219,2.083468198776245,327.0589904785156,0.334938915570577,1.6890135566393534,3.8532454212506613,23654643.0,0.19812580943107605,1968003.0,0.19848069548606873,0.7609403333118249,0.4114052260833091,0.4948371241083187,985,863,396,3.889998343245105e-05,0.1666999971212215,0.985064395471937,0.0880872249488166,leaky_relu
