,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_accuracy,mean_test_loss,cumulative_test_loss,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,637230,4.039492074648539,1.7032965461413065,0.3416025638580322,7672371.0,2.303795337677002,433.1127624511719,0.1003292053937912,2.303647756576538,361.6712646484375,0.09640722721815109,0.3551304843276739,0.6333987815305591,0.9977518627420068,425,410,309,9.785711272479853e-08,0.7270702498208362,0.20136627665781714,0.12925387603430735,swish,1
0,930670,3.9829422791798907,1.8616142868995667,0.35109338760375974,11196211.0,2.30340838432312,433.0382995605469,0.1008179634809494,2.303302049636841,361.6117248535156,0.10061557590961456,0.6799152912572026,0.12935652863234282,0.11425873823463917,746,336,275,1.3269139924498275e-08,0.7996344299549571,0.9878535806271191,0.3525832399857847,leaky_relu,3
0,1879173,3.9762191653251646,1.6971276203791301,0.32969419956207274,22589427.0,2.3024017810821533,432.8515319824219,0.09964463114738464,2.302468776702881,361.4867248535156,0.10014237463474274,0.3135627219453454,0.29905120842158794,0.4438463542610407,981,693,612,4.818235008963323e-06,0.2934743122120961,0.22395749280334404,0.895116834332008,swish,4
0,713162,3.8502408703168234,1.6816391507784525,0.3298866033554077,8581747.0,2.3020975589752197,432.7943420410156,0.10023722052574158,2.302152633666992,361.43841552734375,0.10014237463474274,0.5679251737892628,0.8658585604280233,0.9829709213227034,738,157,112,0.0021907409603106882,0.25913671888543754,0.8207521343613899,0.8817675798498956,swish,6
0,1384827,3.8787485996882123,1.7020455360412599,0.33188661336898806,16650291.0,2.291503429412842,430.80438232421875,0.1755123883485794,2.2911882400512695,359.7154541015625,0.17521905899047852,0.5284649170935154,0.4999772869050503,0.14027970284223557,888,627,207,3.1282727157834407e-07,0.3557612616090563,0.7079567171137722,0.02091538885182023,swish,8
0,1115109,3.920729601383209,1.7258545994758605,0.33430338303248086,13412403.0,2.3301918506622314,438.0859375,0.09964462369680405,2.3312788009643555,366.0010681152344,0.10014237463474274,0.16759192012250423,0.8143536644056439,0.7081622024998069,772,429,407,1.39275677112201e-07,0.22030858468698586,0.41211596268816986,0.9966620880164412,sigmoid,10
0,402200,3.9425151467323305,1.712453269958496,0.33174983263015745,4845683.0,2.3023157119750977,432.8348388671875,0.10023722052574158,2.3023624420166016,361.4713134765625,0.09943126142024994,0.39655603375285864,0.3694309201091528,0.09984388668090105,445,99,85,0.0051319490162911145,0.4098138386418828,0.2594847438831561,0.6052193748778723,relu,11
0,789233,3.8855914076169333,1.691177523136139,0.3342326958974203,9497907.0,2.3022243976593018,432.8178405761719,0.10023722052574158,2.302166700363159,361.4404296875,0.10014237463474274,0.2863934114575386,0.31356486678123474,0.5678651770576835,512,505,251,1.7862348225677897e-05,0.9288212529493283,0.9790256035633533,0.8652502994141034,leaky_relu,12
0,1398719,3.908625014623006,1.6955893397331239,0.3477458278338114,16817331.0,2.31309175491333,434.87982177734375,0.09964463114738464,2.3127901554107666,363.1050720214844,0.10014237463474274,0.37298425287008286,0.9456121567636728,0.28548009041696787,852,769,97,0.25832490305865824,0.6000547814500649,0.6480691779975593,0.22412443588812106,relu,13
0,1912800,3.8979314168294272,1.7078932364781698,0.33257485230763756,22991603.0,2.304042100906372,433.15887451171875,0.0720723420381546,2.304133653640747,361.7466125488281,0.06713762879371643,0.44022635370492935,0.16764302365481853,0.052750710397958755,954,892,348,4.976412235727046e-08,0.21580143926519435,0.12060426590422312,0.6631902911505181,swish,14
