,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_accuracy,mean_test_loss,cumulative_test_loss,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,1245162,3.6445737997690837,1.6303032835324605,0.31303447087605796,14972595.0,2.3045010566711426,433.23980712890625,0.09686766564846039,2.3040072917938232,361.7295227050781,0.09835336357355118,0.6376521456986666,0.14945413079112768,0.19485670235008,781,779,31,5.827554612166549e-07,0.5899556535804656,0.8090960235708903,0.5204386444872549,leaky_relu,0
0,714780,3.8209368427594503,1.7125542124112447,0.3109485904375712,8602675.0,2.3016016483306885,432.70062255859375,0.10023722052574158,2.3017756938934326,361.3798522949219,0.10014237463474274,0.7124832877889276,0.5908734248951077,0.5703086545690894,532,433,152,0.004311735612292052,0.8979673059469825,0.637048682843111,0.17796302036301848,leaky_relu,1
0,1202682,3.9058346350987754,1.7475372552871704,0.32393708229064944,14464371.0,2.3019819259643555,432.77142333984375,0.10023722052574158,2.3020706176757812,361.424560546875,0.10014237463474274,0.20942437276244164,0.1685452200472355,0.3534209495410323,684,596,427,0.006228284016123466,0.5726342144992707,0.5239954349040402,0.5680401678203745,swish,2
0,1173006,3.801012460390727,1.5977585275967916,0.31104619105656944,14107443.0,2.3019156455993652,432.76019287109375,0.10023722052574158,2.3019161224365234,361.39996337890625,0.10014237463474274,0.20011225249618292,0.6644437946379185,0.08859134465456009,811,449,377,1.162977587907456e-05,0.7215714121091776,0.7528401199833619,0.11669837007947338,leaky_relu,3
0,1074910,3.7415323575337727,1.5886474967002868,0.30999749104181923,12926835.0,2.30216646194458,432.8071594238281,0.10023722052574158,2.30226993560791,361.4565734863281,0.10014237463474274,0.015493880026042461,0.41067237965762615,0.4438342982903123,913,372,51,0.00042407389620439614,0.1203495918374694,0.12334289683169536,0.933917146150154,leaky_relu,4
0,1413570,3.7860496441523233,1.594594156742096,0.310037104288737,16997811.0,2.3022732734680176,432.82672119140625,0.10023722052574158,2.3022942543029785,361.4637451171875,0.09943126142024994,0.9369014203548431,0.030268878675997257,0.14023414254188538,720,680,521,0.01656284288222531,0.9775899528804644,0.8415164501903244,0.24196231309506055,leaky_relu,5
0,1273008,3.761769219239553,1.595733924706777,0.30767749547958373,15306675.0,2.302340269088745,432.83905029296875,0.10023722052574158,2.3023083209991455,361.4630432128906,0.10014237463474274,0.6904767472296953,0.08786401618272066,0.8639464825391769,902,562,103,2.9938790911084452e-05,0.8462932959165183,0.41611147004053295,0.6297927677982036,leaky_relu,6
0,1260330,3.767028284072876,1.5885292530059814,0.30909161567687987,15155763.0,2.302018165588379,432.7791442871094,0.10023722052574158,2.3020684719085693,361.42523193359375,0.10014237463474274,0.5002281572669744,0.8331212839111686,0.726950348354876,763,639,269,0.0006125738900449805,0.44194728314914733,0.9120416578016853,0.32789381824365527,leaky_relu,7
0,2190884,3.7812837600708007,1.580465559164683,0.30990502834320066,26333171.0,2.3023555278778076,432.84271240234375,0.10023722052574158,2.3023366928100586,361.4666748046875,0.10014237463474274,0.2879160586744547,0.7886043787002563,0.18480647448450327,980,817,752,0.0031869416145715417,0.3304080474666552,0.8763303208518944,0.8571107925817769,swish,8
0,720846,3.7783682147661843,1.5862609545389812,0.3083883007367452,8676531.0,2.302560806274414,432.88238525390625,0.10023722052574158,2.3025426864624023,361.49871826171875,0.10014237463474274,0.6492773210629821,0.4202752662822604,0.7518136454746127,473,458,285,0.011299702026354354,0.705636840196765,0.4896827743862787,0.5921683038041379,swish,9
0,1264092,3.801704835891724,1.5856974005699158,0.30876020193099973,15201459.0,2.3173317909240723,435.6468200683594,0.10023722052574158,2.3152668476104736,363.4882507324219,0.10014237463474274,0.9663807610049844,0.5717844637110829,0.8842325881123543,740,626,347,1.2367314243148788e-07,0.14139627805549945,0.7860002696660328,0.5414380526043038,sigmoid,10
0,1994550,3.7557355999946593,1.5773430585861206,0.30934094190597533,23973747.0,2.3035166263580322,433.0616149902344,0.09964462369680405,2.303495407104492,361.6463623046875,0.10014237463474274,0.3165380163118243,0.36032479628920555,0.9334112117066979,969,886,420,4.8415722815689995e-06,0.7325864053824451,0.8210356505566365,0.42189098565837363,leaky_relu,11
0,1513812,3.7810334245363872,1.584231980641683,0.3081948637962341,18200243.0,2.3022265434265137,432.81866455078125,0.10023722052574158,2.302332878112793,361.46600341796875,0.10014237463474274,0.3819163432344794,0.6212015654891729,0.53819240629673,818,810,256,0.0013239074565699718,0.1243238586092415,0.5009142722160614,0.6202972068820236,swish,12
