,number_parameters,training_time,validation_time,testing_time,checkpoint_size,mean_validation_loss,cumulative_validation_loss,validation_accuracy,mean_test_loss,cumulative_test_loss,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation,trial_index
0,1987861,4.022744941711426,1.7313868443171183,0.3347304026285807,23893107.0,2.3000988960266113,432.42193603515625,0.10208553820848465,2.2999606132507324,361.09893798828125,0.10139328241348267,0.5574963524782881,0.6266653816792981,0.35901795564147165,989,879,386,7.662185722552331e-08,0.5486245663431484,0.8849255263585922,0.9246096611089625,relu,0
0,1364168,4.091845214366913,1.757919724782308,0.36068998972574867,16401075.0,2.302507162094116,432.8707275390625,0.10023722052574158,2.3025264739990234,361.4963684082031,0.10014237463474274,0.1827194334740727,0.6879468398154681,0.6996878162883363,988,562,60,0.0046099299789382426,0.9345279055078913,0.9626564262807772,0.935788207026502,swish,1
0,766664,3.9754611253738403,1.6735538562138876,0.32402097384134926,9226355.0,2.30293345451355,432.94549560546875,0.10023722052574158,2.30293869972229,361.5601501464844,0.09943126142024994,0.6830934967686793,0.1842541640882538,0.7879474033718146,574,364,288,1.8076021916517955e-06,0.6180499554812733,0.5188598151997739,0.26155381771141906,sigmoid,2
0,1752294,3.9172289888064067,1.6750175913174947,0.32341576417287193,21064371.0,2.3111655712127686,434.5010070800781,0.09964462369680405,2.3126792907714844,363.1060485839844,0.10014237463474274,0.5140616753997118,0.8162408642324577,0.7271620930837529,961,754,359,0.0018041088554399095,0.9216144992690853,0.4297483341599897,0.5932156108385715,sigmoid,3
0,1310944,4.116648741563162,1.6484995365142823,0.32462421655654905,15763635.0,2.3023059368133545,432.8333435058594,0.10023722052574158,2.302337646484375,361.46722412109375,0.10014237463474274,0.1351323791346244,0.03894430980864527,0.29552662854705436,810,621,274,4.9976312225159075e-05,0.8711846549869385,0.7202822273709576,0.9849046036669101,leaky_relu,4
0,487942,3.8839961926142377,1.6273873527844747,0.32008134921391806,5876595.0,0.6998781561851501,131.6416778564453,0.8219635486602783,0.6722471714019775,105.41719818115234,0.8334645628929138,0.7800643434606891,0.42669793233046704,0.8849438025309286,438,271,92,0.0009316797247533653,0.5547923232622427,0.32287971684879313,0.013963571845708315,swish,5
0,2017942,3.8531144658724465,1.6661766370137532,0.3185525973637899,24256179.0,2.302128791809082,432.79986572265625,0.10023722052574158,2.3021903038024902,361.44415283203125,0.10014237463474274,0.3256292300925152,0.2446687898404265,0.8813669765216936,893,799,747,0.00012038768365063866,0.5818497972800886,0.5893247089498022,0.6147091612068227,relu,6
0,740104,3.8704837123552958,1.6484339316685994,0.3191671927769979,8907699.0,2.302149534225464,432.8037414550781,0.10023722052574158,2.302196979522705,361.4451904296875,0.10014237463474274,0.17402840925664176,0.5598823440674559,0.9280864527196251,536,366,329,9.054482649780519e-05,0.7736061765711492,0.8891701503844389,0.5892051539035971,relu,7
0,1170548,3.8728652238845824,1.6512494762738545,0.31911439100901284,14075955.0,7.576145172119141,1423.95068359375,0.10023722052574158,7.582836627960205,1190.2650146484375,0.10014237463474274,0.022469238520753887,0.6364666315918657,0.8285304027574187,897,475,85,0.7191490571489492,0.7043014677531192,0.5137105101403769,0.11505421070685105,sigmoid,8
0,1614618,3.8503060976664227,1.6618504802385965,0.32237948179244996,19411251.0,2.3023221492767334,432.8363952636719,0.10023722052574158,2.302353620529175,361.4696350097656,0.10014237463474274,0.8374324668106885,0.5568189853409994,0.6953023415160319,959,614,439,0.00015398685602997366,0.7167454783347755,0.7019276103202162,0.9153857746075249,swish,10
0,552415,3.8642683664957684,1.655134904384613,0.31664998531341554,6652275.0,2.30165433883667,432.7103576660156,0.10023722052574158,2.301765203475952,361.3776550292969,0.10014237463474274,0.01895860099577229,0.6677368627854392,0.30059441955109856,449,321,170,0.00025447663662483413,0.30185143229461675,0.995349452709888,0.21124131582018996,leaky_relu,11
0,609867,3.8549972494443256,1.64522997935613,0.31761306524276733,7339763.0,2.302797555923462,432.9254455566406,0.10023722052574158,2.3027846813201904,361.5370788574219,0.10014237463474274,0.4638993199463385,0.7284135901261751,0.19385302553430628,726,53,35,0.008298184218667633,0.9036888854257974,0.4819476358974052,0.7287713761194954,relu,12
0,1326199,3.8517212510108947,1.6456931034723918,0.3199045777320862,15946547.0,2.301966428756714,432.7688903808594,0.09842069447040558,2.3022360801696777,361.4480285644531,0.09920705854892731,0.538863440651093,0.2500279954030965,0.059939970253600316,821,651,224,2.590162254973759e-07,0.3586553358000095,0.7593831038903383,0.2975619113219549,leaky_relu,13
0,407382,3.8759779572486877,1.6569058855374654,0.31809173822402953,4908275.0,2.3028018474578857,432.9287414550781,0.09964463114738464,2.3028719425201416,361.55096435546875,0.10014237463474274,0.47780141171609647,0.8221265346112707,0.24004225743788254,433,130,83,5.80754356448043e-06,0.9696722519458183,0.5591591331505029,0.1929922057266588,swish,14
0,1468676,3.8617592056592307,1.651438093185425,0.32109074195226034,17658675.0,2.3029561042785645,432.9559020996094,0.10023722052574158,2.302734851837158,361.53009033203125,0.10014237463474274,0.2023091525329126,0.00402189258491692,0.2887052648339897,894,574,436,0.01949390415112117,0.6758481106735013,0.6038806311656605,0.5714908882885943,relu,15
0,1656322,3.88619034687678,1.6517444133758545,0.31662677526474,19910643.0,2.3033297061920166,433.0273132324219,0.10023722052574158,2.3033809661865234,361.6311950683594,0.09943126142024994,0.95175523392443,0.46520363701501277,0.4208725486770222,950,868,99,0.027263302338769148,0.5940379130519796,0.7870968703694431,0.3909083517505217,relu,16
0,516410,3.9044769922892253,1.6763640801111857,0.3342242956161499,6219315.0,2.3021180629730225,432.7971496582031,0.10023722052574158,2.3023087978363037,361.4612731933594,0.10014237463474274,0.9540263229676191,0.4418217052150981,0.43160100760583753,413,394,74,0.019739175389920045,0.3885579003509607,0.666791058868482,0.9534530677555839,swish,17
0,1397191,3.786923948923747,1.6307361801465352,0.3187319795290629,16799859.0,2.3029918670654297,432.9627685546875,0.09964462369680405,2.3027138710021973,361.5245056152344,0.10014237463474274,0.8054328852204949,0.8830191760293633,0.05245290451906792,997,453,354,0.011639939448392537,0.623137874020873,0.2210216811994909,0.979905104284586,leaky_relu,18
0,319214,4.329117830594381,1.8984273513158163,0.3941018184026082,3847859.0,2.3018622398376465,432.74603271484375,0.10023722052574158,2.30196475982666,361.4078674316406,0.10014237463474274,0.153938385947738,0.20063506653126906,0.631163906861402,386,40,23,0.044152717504157814,0.8972664448647363,0.5194252138966052,0.8303807614147042,swish,21
0,911342,4.285272030035655,1.7971256613731383,0.33990931113560996,10962483.0,2.3023440837860107,432.8409118652344,0.10023722052574158,2.30234432220459,361.46832275390625,0.10014237463474274,0.7605730184123589,0.7357030763207634,0.9743110403222162,785,334,98,2.6283588642926265e-05,0.44725999117084525,0.22085024423276822,0.8516055119276711,leaky_relu,23
0,773436,4.097151792049408,1.7546916643778483,0.34178277254104616,9308403.0,2.3288638591766357,437.8236999511719,0.09936017543077469,2.3295891284942627,365.7122497558594,0.09988637268543243,0.942447276892266,0.1373769862949097,0.8891873094761822,498,462,324,1.9067329511334623e-08,0.45908433840421015,0.48674304335671204,0.5512842803113721,sigmoid,24
0,1427264,4.17277276913325,1.9577950795491537,0.3858548124631246,17160435.0,2.2991857528686523,432.25238037109375,0.09700753539800644,2.299511194229126,361.01666259765625,0.09377352148294449,0.8478138634780834,0.7548371637971966,0.5974902219089097,990,504,296,4.7264382556889376e-08,0.415613181331134,0.3831910489685716,0.9979467484824505,relu,25
0,1074104,4.414486149946849,1.8943798979123434,0.3899619062741598,12918579.0,2.301340103149414,432.65106201171875,0.10023722052574158,2.3015034198760986,361.3372497558594,0.10014237463474274,0.8932481402850938,0.07062547326023005,0.9681984543602921,704,654,93,0.00016840010529155472,0.8521475366906933,0.2839032597744805,0.10120127825835924,swish,26
