,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,25.880935668945312,4413.58349609375,26.896926879882812,5726.408203125,1.8024126887321472,1.8105007410049438,4.292488793532054,1477875.0,1350.94677734375,1.1058677434921265,0.3560951054096222,1.1197328567504883,1419.897705078125,1.0947551727294922,1.125648021697998,121524.0,0.36672934889793396,0.38123304153861304,0.8209182790255785,0.5449185163702186,271,217,187,0.08470069739617557,0.8255370303188949,0.548404698997945,0.8497811682712227,sigmoid
1,1,1_0,COMPLETED,Uniform,GenerationStep_0,32.55571746826172,5541.5869140625,33.755184173583984,7186.42333984375,1.6491486469904582,1.6655792752901712,3.820996352036794,162099.0,2209.79638671875,1.418497085571289,0.45762741565704346,1.4400506019592285,2321.3388671875,1.4056628942489624,1.4484214782714844,12384.0,0.4716045558452606,0.1806107521766105,0.31402324054481434,0.22068180813609906,74,63,27,1.774539739752429e-05,0.4991001823505389,0.659321208849469,0.7767206635087952,swish
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,15.95859432220459,2732.251953125,16.398347854614258,3490.571044921875,1.6116649349530539,1.6260938763618469,3.6937728683153788,1107507.0,542.9219360351562,0.7086900472640991,0.22660547494888306,0.714663028717041,562.46875,0.6887974143028259,0.7060381174087524,90778.0,0.22926083207130432,0.40657545458196964,0.683920065228365,0.9457230789165902,263,196,91,0.04233735308861463,0.19985396134998323,0.138574321094098,0.06215348226680017,swish
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,32.73809051513672,5572.77783203125,33.93710708618164,7225.1806640625,1.6497085412343344,1.6253313938776652,3.6831642349561053,440819.0,2222.16943359375,1.4227699041366577,0.4589952826499939,1.4443682432174683,2334.162353515625,1.409725308418274,1.4525914192199707,35455.0,0.4729541540145874,0.5031532664676636,0.1442694847925856,0.38036403812158937,221,74,16,8.514481226585442e-07,0.597125754956868,0.6530251519619887,0.6724226390562346,relu
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,32.29535675048828,5497.0556640625,33.49559020996094,7131.1318359375,1.6298118988672892,1.6072208960851033,3.6593672076861066,491571.0,2191.213623046875,1.4120783805847168,0.4555704891681671,1.4335591793060303,2302.06787109375,1.399551510810852,1.4421440362930298,39673.0,0.46957188844680786,0.8954356856438038,0.058640571217807747,0.205906660213529,215,98,12,5.033581126532499e-06,0.40746458411162734,0.8194533303645943,0.06016049352651957,leaky_relu
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,32.507667541503906,5533.36572265625,33.70725631713867,7176.21923828125,1.6222315788269044,1.6171252051989238,3.6838182965914408,1093107.0,2206.529052734375,1.4173667430877686,0.4572659134864807,1.438908576965332,2317.9501953125,1.4045889377593994,1.447318434715271,89561.0,0.47124749422073364,0.9144853367132711,0.21497992247347342,0.6467507034973697,280,182,87,5.606309615543416e-06,0.9426557965505363,0.6086165779545066,0.09897789667361095,swish
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,32.57475280761719,5544.8427734375,33.774169921875,7190.4716796875,1.614468228816986,1.610233740011851,3.663397939999898,878643.0,2211.08837890625,1.4189438819885254,0.4577704966068268,1.4405016899108887,2322.677490234375,1.4060877561569214,1.4488574266433716,71788.0,0.47174549102783203,0.9623657105440746,0.6285814527302797,0.9796922519546474,242,203,15,2.8170410335631672e-08,0.6771189090059441,0.7664700990856443,0.07361878573739734,sigmoid
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,32.31460189819336,5500.34814453125,33.51491165161133,7135.24853515625,1.6259578386942546,1.615277143319448,3.665641494592031,486515.0,2193.446533203125,1.412832498550415,0.4558144509792328,1.434326171875,2304.39208984375,1.4002782106399536,1.4428939819335938,39226.0,0.46981537342071533,0.9145626710805522,0.08228523712899594,0.27114778145984875,242,76,16,1.9102273494400683e-06,0.5720032768856006,0.9007329540585517,0.7539997260047032,sigmoid
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,32.61088562011719,5551.01806640625,33.81019973754883,7198.14453125,1.6139274716377259,1.6143103877703349,3.6726444800694784,1017843.0,2213.68408203125,1.4198368787765503,0.45805636048316956,1.4414052963256836,2325.365478515625,1.4069373607635498,1.4497302770614624,83360.0,0.47202828526496887,0.22670668262418203,0.3970768555858646,0.9876545227591885,267,199,43,1.6156722340325346e-07,0.8490988532387053,0.6663348787901443,0.5291092835350348,leaky_relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,25.895845413208008,4415.75732421875,26.919902801513672,5731.267578125,1.6231486121813457,1.6196914076805116,3.6544055223464964,1078131.0,1363.3646240234375,1.1103194952011108,0.3576107621192932,1.1244659423828125,1433.2769775390625,1.0996419191360474,1.130843162536621,88302.0,0.36843159794807434,0.4017729723867338,0.7234900299612629,0.40083854170179445,263,168,135,0.002452211543764275,0.5759960700511729,0.3553865542265813,0.45931962387842123,sigmoid
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,14.566067695617676,2495.4150390625,14.930872917175293,3178.25048828125,1.619825812180837,1.6251434723536173,3.6979007641474406,1222387.0,431.95440673828125,0.6410811543464661,0.20365670323371887,0.6445746421813965,447.4472961425781,0.6182476282119751,0.6334203481674194,100322.0,0.20529136061668396,0.36429656320045567,0.21765366174641876,0.7622832155202238,271,256,35,0.018249951509354,0.2479844218871707,0.6800899245109773,0.33270061101586473,leaky_relu
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,32.66849136352539,5560.87255859375,33.867637634277344,7210.380859375,1.6301899274190268,1.6226001779238384,3.678247094154358,758643.0,2217.424072265625,1.4211326837539673,0.45847129821777344,1.442714810371399,2329.2412109375,1.4081685543060303,1.450993537902832,61760.0,0.4724368453025818,0.7818287529664175,0.9987753472864425,0.26773894726215075,247,119,103,3.14574211100075e-08,0.3774235712002192,0.36368569103146864,0.42188537510662405,sigmoid
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,32.685028076171875,5563.70263671875,33.88413619995117,7213.89794921875,1.6201606909434,1.601235028107961,3.6317840139071147,786867.0,2218.538330078125,1.4215188026428223,0.45859435200691223,1.4431031942367554,2330.396728515625,1.4085345268249512,1.4513685703277588,64176.0,0.4725583493709564,0.42125360944847534,0.8393594329884586,0.813082748577013,231,191,7,3.340400359624285e-05,0.17190991590288668,0.32275304501871444,0.8520561383114535,relu
13,13,13_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,,,,,,,0.9390304840094795,0.3228606527187883,0.18641202690568226,288,127,102,0.7236824915060109,0.41073019060684457,0.13912661697048148,0.5149508837417976,relu
14,14,14_0,COMPLETED,Uniform,GenerationStep_0,28.82863998413086,4906.224609375,29.993371963500977,6385.326171875,1.751314914226532,1.6205738544464112,3.663728634516398,1044723.0,1905.66845703125,1.310566782951355,0.42300015687942505,1.330716848373413,2005.2862548828125,1.3022829294204712,1.3420727252960205,85567.0,0.4371595084667206,0.4869608704214564,0.6017436899273079,0.8703016627746284,248,200,79,2.4901860051873253e-05,0.5455716841279246,0.12085110701780974,0.47467797472286294,sigmoid
15,15,15_0,COMPLETED,Uniform,GenerationStep_0,32.788963317871094,5581.47509765625,33.98780059814453,7235.97802734375,1.7015645305315654,1.6977553049723306,3.9448620319366454,413619.0,2225.593994140625,1.4239531755447388,0.45937344431877136,1.4455631971359253,2337.70556640625,1.4108465909957886,1.4537417888641357,33166.0,0.4733264446258545,0.395770359171411,0.1868520359711079,0.5621904075194618,296,30,10,3.2901455874344354e-07,0.24297941384144847,0.6422851327390101,0.6667134351377489,leaky_relu
16,16,16_0,COMPLETED,Uniform,GenerationStep_0,23.93642807006836,4076.6796875,25.024581909179688,5327.615234375,1.724833603700002,1.7353724002838136,4.102650519212087,358835.0,1399.6917724609375,1.1167045831680298,0.3605048358440399,1.1335408687591553,1473.06787109375,1.111127257347107,1.1446229219436646,28638.0,0.37291911244392395,0.9808226716899849,0.394676746449365,0.6720966766753241,224,45,9,0.03807298692815757,0.875501079920809,0.8313030589691777,0.24632894043964096,relu
17,17,17_0,COMPLETED,Uniform,GenerationStep_0,32.3825798034668,5511.97607421875,33.58252716064453,7149.650390625,1.731004786491394,1.717593491077423,3.9049442251523336,828147.0,2197.992919921875,1.4144108295440674,0.4563194215297699,1.4359211921691895,2309.100341796875,1.4017775058746338,1.444432258605957,67560.0,0.47031331062316895,0.18508771191215045,0.7727489010280086,0.055683754447859224,246,151,69,2.347202491829097e-06,0.9909386501096222,0.3343727511362723,0.1907051893544545,leaky_relu
18,18,18_0,COMPLETED,Uniform,GenerationStep_0,32.4251823425293,5519.2626953125,33.625099182128906,7158.71630859375,1.8169711788495382,1.822463595867157,3.970638052622477,327603.0,2200.960693359375,1.4154374599456787,0.45664817094802856,1.43695867061615,2312.18115234375,1.4027557373046875,1.4454362392425537,26040.0,0.4706386625766754,0.554204810065055,0.5565556060251364,0.5995974820181045,231,29,21,1.7272776938484752e-08,0.7611417043006113,0.28186804174445224,0.6562080440987356,sigmoid
