,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,validation_mse,validation_nrmse_mean,validation_nrmse_range,validation_nrmse_std,test_mse,test_nrmse_mean,test_nrmse_std,number_parameters,training_time,checkpoint_size,test_nrmse_range,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Uniform,GenerationStep_0,28.516027450561523,4851.7353515625,29.696096420288086,6322.05029296875,1.7196250240008035,1.7788824319839478,1859.41845703125,1.2944499254226685,0.4176672399044037,1.3141603469848633,1956.107666015625,1.286213755607605,1.3254034519195557,79550.0,3.8477582653363545,972339.0,0.43169668316841125,0.6689855199830457,0.9218263768140029,0.516320965678743,241,204,53,1.7194075095311268e-05,0.8855148054477118,0.4129213452687591,0.1493330914538503,relu
1,1,1_0,ABANDONED,Uniform,GenerationStep_0,,,,,,,,,,,,,,,,,,0.7220686889995319,0.08435795233009569,0.8225432045020674,204,187,96,0.20795089423073498,0.9844400434349794,0.6151056390771411,0.3597696564307848,leaky_relu
2,2,2_0,COMPLETED,Uniform,GenerationStep_0,31.43705177307129,5350.32763671875,32.6422004699707,6949.33740234375,1.7122727394104005,1.7281358003616334,2132.578369140625,1.391601324081421,0.44901344180107117,1.4128577709197998,2241.268798828125,1.3800660371780396,1.4221343994140625,50315.0,3.935099784533183,620595.0,0.46309521794319153,0.625015861387944,0.38653213336482406,0.128555466586185,273,84,62,0.05263273063380447,0.8149628784097044,0.7403478247476113,0.7859517062900334,swish
3,3,3_0,COMPLETED,Uniform,GenerationStep_0,31.14468765258789,5300.4091796875,32.35113525390625,6887.33251953125,1.7263718287150065,1.7371267000834147,2111.186279296875,1.3840911388397217,0.44660478830337524,1.4052562713623047,2219.06396484375,1.3728982210159302,1.4147685766220093,170434.0,3.9126573244730634,2066355.0,0.46070975065231323,0.17945157676200574,0.015269023785011715,0.7386607377489522,298,282,220,0.10687773733438183,0.7483673202747947,0.3293301000199034,0.7100699098735952,swish
4,4,4_0,COMPLETED,Uniform,GenerationStep_0,25.975339889526367,4428.1083984375,27.020832061767578,5752.66650390625,1.720680058002472,1.725272818406423,1405.8997802734375,1.1257494688034058,0.36282065510749817,1.1407697200775146,1478.9337158203125,1.1163300275802612,1.1485188007354736,81636.0,3.9111742973327637,997491.0,0.3742165267467499,0.82575475139569,0.8815238091899795,0.41822262234520546,207,186,141,7.19483351599406e-05,0.147542051216968,0.5377889748144005,0.09712331291678072,sigmoid
5,5,5_0,COMPLETED,Uniform,GenerationStep_0,16.349925994873047,2796.75537109375,16.88494110107422,3594.579833984375,1.7384589831034343,1.737604808807373,598.0490112304688,0.7367923855781555,0.2363845556974411,0.7443433403968811,621.7020874023438,0.7208495140075684,0.7399158477783203,16760.0,3.8758183240890505,215475.0,0.24055272340774536,0.6880332550880883,0.4749893115366367,0.6411808603953063,82,74,54,0.0033687301331502264,0.3202488516810199,0.12505307049949557,0.7105413832651626,leaky_relu
6,6,6_0,COMPLETED,Uniform,GenerationStep_0,16.069581985473633,2743.308349609375,16.72209930419922,3560.471923828125,1.723500339190165,1.7398750901222229,612.5723876953125,0.73964524269104,0.23783130943775177,0.7486112117767334,642.7203369140625,0.7314895987510681,0.7521601915359497,90684.0,3.898685864607493,1106739.0,0.2448563128709793,0.4366130568974479,0.36940724486848553,0.8737311245494328,297,168,99,0.020523883371175368,0.942664843011654,0.7773989462446372,0.30038482502342556,relu
7,7,7_0,COMPLETED,Uniform,GenerationStep_0,30.26802635192871,5151.06494140625,31.473556518554688,6700.41650390625,1.7319642186164856,1.7444560845692954,2043.0755615234375,1.359977126121521,0.4388693869113922,1.38083815574646,2148.32177734375,1.3498539924621582,1.3910738229751587,20030.0,3.878348402182261,254899.0,0.4530368149280548,0.228940650365955,0.7733456076955816,0.9604823862515957,122,64,36,6.803608577970293e-05,0.3418824124485518,0.483800113826914,0.2437616593035287,sigmoid
8,8,8_0,COMPLETED,Uniform,GenerationStep_0,32.57093811035156,5544.19287109375,33.77037048339844,7189.66015625,1.7318419575691224,1.7483166456222534,2210.7841796875,1.418840765953064,0.45773744583129883,1.44039785861969,2322.35791015625,1.405988097190857,1.448754072189331,160736.0,3.9374053438504535,1949811.0,0.47171229124069214,0.9783409513517419,0.3060558941511231,0.7163767708505909,294,267,218,7.488456922709603e-08,0.9472373106165951,0.3858614857760556,0.37160894842155034,relu
9,9,9_0,COMPLETED,Uniform,GenerationStep_0,16.06191062927246,2747.43896484375,16.554887771606445,3524.236083984375,1.7224603096644084,1.7357597947120667,566.2981567382812,0.7191154360771179,0.23038819432258606,0.7259113192558289,589.4415283203125,0.7026979923248291,0.7210502028465271,95301.0,3.9081676403681436,1161971.0,0.23440901935100555,0.6151580424691312,0.1175931665179274,0.29681642568843003,288,216,45,0.013894626192093628,0.24180567608258555,0.267555439481013,0.5846555491760741,relu
10,10,10_0,COMPLETED,Uniform,GenerationStep_0,14.808869361877441,2534.104736328125,15.308502197265625,3258.834228515625,1.7371672828992208,1.7292231917381287,474.5051574707031,0.6628587245941162,0.21203190088272095,0.6688042879104614,492.1133117675781,0.6446962356567383,0.6614184975624084,100168.0,3.9010053594907124,1220403.0,0.21468448638916016,0.7948576703001848,0.06234283850673772,0.47478779437508933,298,202,78,0.0023509727674017548,0.6228654261461162,0.1689251029849615,0.186664589393452,swish
11,11,11_0,COMPLETED,Uniform,GenerationStep_0,26.518047332763672,4516.87548828125,27.57389259338379,5870.2490234375,1.7103735168774923,1.7261733412742615,1555.2261962890625,1.1810834407806396,0.38114163279533386,1.1983836889266968,1637.7030029296875,1.1739965677261353,1.2090575695037842,115839.0,3.9062697609265644,1409395.0,0.39396360516548157,0.49842654538323594,0.3472551897733296,0.7387585189050047,269,256,98,0.00019673643505119213,0.4148788712149283,0.8072222494461956,0.7582664211002182,sigmoid
12,12,12_0,COMPLETED,Uniform,GenerationStep_0,32.30023956298828,5497.89453125,33.500614166259766,7132.19921875,1.7257609804471334,1.7300636967023213,2192.457275390625,1.412489414215088,0.45570454001426697,1.4339795112609863,2303.3671875,1.3999522924423218,1.4425591230392456,46671.0,3.9037114421526593,576819.0,0.46970656514167786,0.18059947435453394,0.2381053938029366,0.7664443988406114,243,86,70,9.279112793355368e-06,0.2586725833696741,0.24943367993572746,0.11609682213070002,swish
13,13,13_0,COMPLETED,Uniform,GenerationStep_0,32.434120178222656,5520.79443359375,33.63399887084961,7160.6123046875,1.7341621239980063,1.7333018819491068,2201.683349609375,1.4156843423843384,0.45672786235809326,1.4372098445892334,2312.930908203125,1.4029911756515503,1.4456799030303955,20976.0,3.9101627349853514,266227.0,0.47071710228919983,0.029321531430664627,0.9681349481499606,0.6763795562100566,107,96,21,1.4813557818039552e-07,0.43346397128432723,0.7350628774660356,0.900868696845196,relu
14,14,14_0,COMPLETED,Uniform,GenerationStep_0,23.511857986450195,4005.673583984375,24.56220245361328,5229.2177734375,1.7227973143259685,1.7270018935203553,1361.4609375,1.1003518104553223,0.3552951514720917,1.1169590950012207,1433.6715087890625,1.0953660011291504,1.128301739692688,120478.0,3.9014919916788737,1465651.0,0.36764538288116455,0.8655339605045635,0.369331451086085,0.4321013223781337,299,208,163,3.968765529379453e-05,0.8043511029494851,0.8468995658525953,0.6109809957418558,leaky_relu
