,trial_index,arm_name,trial_status,generation_method,generation_node,mean_validation_loss,cumulative_validation_loss,mean_test_loss,cumulative_test_loss,testing_time,validation_time,training_time,checkpoint_size,validation_accuracy,number_parameters,test_accuracy,input_dropout_probability,hidden_dropout_probability,output_dropout_probability,hidden_layer_nodes_1,hidden_layer_nodes_2,hidden_layer_nodes_3,learning_rate,beta1,beta2,w_decay,activation
0,0,0_0,COMPLETED,Sobol,GenerationStep_0,2.302217483520508,432.8166809082031,2.3021934032440186,361.44384765625,0.32974040110905967,1.6800934553146363,3.8541895389556884,11990643.0,0.10023722052574158,996864.0,0.10014237463474274,0.6343064159154892,0.8412458542734385,0.9180907439440489,682,617,66,0.0013838929844591076,0.8783874292983451,0.8459054267043261,0.4165002280174408,leaky_relu
1,1,1_0,COMPLETED,Sobol,GenerationStep_0,2.3022067546844482,432.81304931640625,2.3015003204345703,361.3344421386719,0.32061530351638795,1.630236820379893,3.755486249923706,11923763.0,0.11498232185840607,991332.0,0.11420528590679169,0.7377131246030331,0.4159110374748707,0.4787524249404669,998,180,154,3.7416607585078575e-07,0.5749018227068712,0.6797499175959396,0.8853356321284369,swish
2,2,2_0,COMPLETED,Sobol,GenerationStep_0,2.2922937870025635,430.9530944824219,2.2926981449127197,359.9540710449219,0.3217341184616089,1.6809288183848063,3.8290050427118936,10983987.0,0.10023722052574158,913069.0,0.10014237463474274,0.4361813636496663,0.7228138549253345,0.4407699229195714,658,507,123,1.8630060258949857e-06,0.4584735880822348,0.6931913729039497,0.1967024513407829,leaky_relu
3,3,3_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.44169183168560266,0.01624405849725008,0.8803438143804669,959,797,226,0.08939045571834589,0.32338606709139456,0.8610480562973235,0.7280510945083674,relu
4,4,4_0,COMPLETED,Sobol,GenerationStep_0,2.302926778793335,432.94989013671875,2.302942991256714,361.5653991699219,0.3203746318817139,1.6430071115493774,3.7480214118957518,17619891.0,0.10023722052574158,1465446.0,0.09943126142024994,0.37394819781184196,0.945978319272399,0.2662861468270421,951,522,420,1.0996110369398465e-05,0.7583461921155675,0.9751213097566701,0.27067061708653006,swish
5,5,5_0,COMPLETED,Sobol,GenerationStep_0,2.300898551940918,432.5668640136719,2.3010833263397217,361.2697448730469,0.31907132466634114,1.6327389280001323,3.7513813893000285,15153459.0,0.10023722052574158,1260159.0,0.10014237463474274,0.41439199075102806,0.1638865377753973,0.00994181353598833,759,711,174,0.00010745078570515831,0.38180596766800046,0.1659343093758198,0.543153569258687,sigmoid
6,6,6_0,COMPLETED,Sobol,GenerationStep_0,2.3010666370391846,432.5999450683594,2.30132794380188,361.30914306640625,0.31964175701141356,1.6421934366226196,3.7703779061635334,12084147.0,0.10023722052574158,1004630.0,0.10014237463474274,0.6557295778766274,0.2798729306086898,0.5990329664200544,799,354,262,2.521119025924789e-05,0.9181422767594292,0.48783097478840143,0.82728248193592,sigmoid
7,7,7_0,ABANDONED,Sobol,GenerationStep_0,,,,,,,,,,,,0.15516791585832834,0.8750844458118081,0.6994936093688011,753,730,591,0.04483865784040151,0.6564271867848607,0.2426313226095792,0.9032063552196096,relu
8,8,8_0,COMPLETED,Sobol,GenerationStep_0,1.2235534191131592,230.09417724609375,1.2047345638275146,189.0243682861328,0.3162286599477132,1.6422385613123576,3.735044229030609,17224371.0,0.5771046280860901,1432440.0,0.5779330730438232,0.48332862835377455,0.6795537332072854,0.8127714386209846,788,602,556,3.398402642693775e-05,0.8023299041398594,0.10537620460228937,0.06820291585072573,leaky_relu
9,9,9_0,COMPLETED,Sobol,GenerationStep_0,2.3042426109313965,433.1983642578125,2.3039824962615967,361.7204895019531,0.3155550241470337,1.6486971775690715,3.7494784037272137,12067763.0,0.09964462369680405,1003288.0,0.10014237463474274,0.983880857937038,0.04039690550416708,0.9779350692406297,742,472,148,0.019129530954758327,0.7229881674679569,0.35056543639920457,0.14657582847974635,leaky_relu
10,10,10_0,COMPLETED,Sobol,GenerationStep_0,2.3042123317718506,433.1893310546875,2.303647041320801,361.6664733886719,0.3170766154925028,1.6495092431704204,3.737531586488088,18227187.0,0.10023722052574158,1516164.0,0.09943126142024994,0.8960684603080153,0.7166398549452424,0.4211660334840417,936,770,79,9.88501330375645e-06,0.9271833528124895,0.2952087383447858,0.6787018279661373,relu
11,11,11_0,COMPLETED,Sobol,GenerationStep_0,2.3308496475219727,438.1944274902344,2.3281612396240234,365.5068664550781,0.31974332332611083,1.639179535706838,3.732102608680725,13561971.0,0.10023722052574158,1127629.0,0.10014237463474274,0.21130267344415188,0.39072828553617,0.38098534382879734,720,591,229,1.448314249079323e-07,0.13399822515843937,0.310337728905094,0.48927566199232125,sigmoid
12,12,12_0,COMPLETED,Sobol,GenerationStep_0,2.305441379547119,433.41802978515625,2.306014060974121,362.04071044921875,0.31705095370610553,1.6622087001800536,3.7284534613291425,10270259.0,0.09964462369680405,853698.0,0.10014237463474274,0.1588867399841547,0.8482057377696037,0.9375035185366869,899,146,113,0.004198833562852704,0.3947438105787796,0.3639932794966152,0.958918716482528,sigmoid
13,13,13_0,COMPLETED,Sobol,GenerationStep_0,2.3015310764312744,432.68560791015625,2.3005170822143555,361.1781921386719,0.31948971350987754,1.6331379055976867,3.7913997292518617,14354355.0,0.10023722052574158,1193616.0,0.10006237030029297,0.02352022286504507,0.18419184815138578,0.33382185734808445,888,422,284,2.5152208362945292e-08,0.856293799799926,0.47796833393225635,0.04029223003179344,leaky_relu
14,14,14_0,COMPLETED,Sobol,GenerationStep_0,2.3095779418945312,434.2096862792969,2.309587240219116,362.6084289550781,0.31852343877156575,1.6271291693051657,3.7407976428667706,11701491.0,0.09964462369680405,972887.0,0.10014237463474274,0.20184216555207968,0.9569229586049914,0.07747689820826054,821,381,42,0.2641633501098024,0.31253828188806726,0.5559259552141571,0.7659626433398002,swish
15,15,15_0,COMPLETED,Sobol,GenerationStep_0,2.2973687648773193,431.9021911621094,2.2969260215759277,360.618408203125,0.3190735101699829,1.6401346484820047,3.746521945794423,26561523.0,0.15457110106945038,2209991.0,0.14806152880191803,0.37787321023643017,0.5006693620234728,0.20221640821546316,988,903,595,3.0637578097242e-07,0.6919998049150846,0.8145455782070188,0.12536891051927726,relu
16,16,16_0,COMPLETED,Sobol,GenerationStep_0,2.3401095867156982,439.94708251953125,2.3435661792755127,367.916259765625,0.3177657802899679,1.646242658297221,3.737849545478821,7804659.0,0.10023722052574158,648303.0,0.10014237463474274,0.7482606200501323,0.7313723340630531,0.9645321611315012,505,309,302,4.3911913712545534e-08,0.6394796887075124,0.9353393066059926,0.2646991658562928,sigmoid
17,17,17_0,COMPLETED,Sobol,GenerationStep_0,2.3325157165527344,438.5128173828125,2.33044695854187,365.8882751464844,0.31849852005640666,1.6275341709454854,3.7545416831970213,16617459.0,0.10023722052574158,1382116.0,0.10014237463474274,0.9937075767666101,0.6041460279375315,0.5313141429796815,859,745,91,1.1019984350193783e-08,0.5672983838477293,0.9903087523562859,0.6125939445778006,sigmoid
18,18,18_0,COMPLETED,Sobol,GenerationStep_0,9.126700401306152,1716.0869140625,9.076201438903809,1423.7650146484375,0.34524259169896443,1.6405521392822267,3.7585160096486407,16862259.0,0.10023722052574158,1402402.0,0.09943126142024994,0.7960982862859964,0.2557147238403559,0.807204001583159,912,549,334,0.10721800888509139,0.4920001216449368,0.1811218726748399,0.322574769646283,sigmoid
19,19,19_0,COMPLETED,Sobol,GenerationStep_0,2.3021857738494873,432.81060791015625,2.3022263050079346,361.4498291015625,0.31691977580388386,1.6332900643348693,3.9156166275342303,16995443.0,0.10023722052574158,1413661.0,0.10014237463474274,0.12851484678685665,0.07780571561306715,0.6446061059832573,995,607,48,0.00010869098009768696,0.5790724548366321,0.5937136245051091,0.7033994816684215,swish
20,20,20_0,COMPLETED,Sobol,GenerationStep_0,2.302546739578247,432.8812255859375,2.302708864212036,361.52764892578125,0.31811298926671344,1.6326425989468893,3.754565425713857,16724211.0,0.09964462369680405,1390914.0,0.10014237463474274,0.08314318023622036,0.7820552615448833,0.889224536716938,807,686,294,1.0383833954278075e-05,0.44870343985017935,0.4595062485997783,0.47789445134685127,relu
21,21,21_0,COMPLETED,Sobol,GenerationStep_0,2.3022451400756836,432.82159423828125,2.3022823333740234,361.4583740234375,0.3166116158167521,1.6490774353345234,3.746428672472636,6359667.0,0.10023722052574158,528071.0,0.10014237463474274,0.33064673747867346,0.91269885096699,0.6144347442314029,421,357,130,4.6340030828771624e-05,0.5454934757063684,0.5180255442976588,0.645613465521278,swish
